Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:37:29        all      0,10      0,00      0,41      0,03      0,00     99,47
09:37:39        all      0,15      0,00      0,33      0,03      0,00     99,49
09:37:49        all      0,18      0,00      0,38      0,03      0,00     99,42
09:37:59        all      0,08      0,00      0,33      0,05      0,00     99,54
09:38:09        all      0,13      0,00      0,31      0,03      0,00     99,54
09:38:19        all      0,08      0,00      0,33      0,08      0,00     99,52
09:38:29        all      0,15      0,00      0,31      0,00      0,00     99,54
09:38:39        all      0,08      0,00      0,28      0,08      0,00     99,57
09:38:49        all      0,05      0,00      0,41      0,03      0,00     99,52
09:38:59        all      0,08      0,00      0,36      0,05      0,00     99,52
09:39:09        all      0,08      0,00      0,33      0,03      0,00     99,57
09:39:19        all      0,10      0,00      0,36      0,13      0,00     99,41
09:39:29        all      0,10      0,00      0,31      0,03      0,00     99,57
09:39:39        all      0,05      0,00      0,38      0,08      0,00     99,49
09:39:49        all      0,13      0,00      0,38      0,05      0,00     99,44
09:39:59        all      0,18      0,00      0,46      0,03      0,00     99,34
09:40:09        all      0,23      0,00      0,58      0,15      0,00     99,03
09:40:19        all      0,10      0,00      0,28      0,05      0,00     99,57
09:40:29        all      0,13      0,00      0,41      0,03      0,00     99,44
09:40:39        all      0,13      0,00      0,31      0,05      0,00     99,52
09:40:49        all      0,15      0,00      0,36      0,03      0,00     99,47
09:40:59        all      0,13      0,00      0,33      0,05      0,00     99,49
09:41:09        all      0,20      0,00      0,43      0,05      0,00     99,31
09:41:19        all      0,13      0,00      0,28      0,03      0,00     99,57
09:41:29        all      0,13      0,00      0,28      0,03      0,00     99,57
09:41:39        all      0,18      0,00      0,36      0,08      0,00     99,39
09:41:49        all      0,10      0,00      0,41      0,00      0,00     99,49
09:41:59        all      0,08      0,00      0,38      0,03      0,00     99,52
09:42:09        all      0,13      0,00      0,36      0,03      0,00     99,49
09:42:19        all      0,15      0,00      0,43      0,05      0,00     99,36
09:42:29        all      0,13      0,00      0,25      0,08      0,00     99,54
09:42:39        all      0,13      0,00      0,38      0,00      0,00     99,49
09:42:49        all      0,13      0,00      0,33      0,10      0,00     99,44
09:42:59        all      0,18      0,00      0,36      0,10      0,00     99,36
09:43:09        all      0,13      0,00      0,33      0,00      0,00     99,54
09:43:19        all      0,18      0,00      0,41      0,08      0,00     99,34
09:43:29        all      0,18      0,00      0,43      0,03      0,00     99,36
09:43:39        all      0,08      0,00      0,38      0,10      0,00     99,44
09:43:49        all      0,08      0,00      0,38      0,03      0,00     99,52
09:43:59        all      0,05      0,00      0,31      0,03      0,00     99,62
09:44:09        all      0,13      0,00      0,46      0,05      0,00     99,36
09:44:19        all      0,03      0,00      0,33      0,05      0,00     99,59
09:44:29        all      0,08      0,00      0,36      0,03      0,00     99,54
09:44:39        all      0,13      0,00      0,31      0,05      0,00     99,52
09:44:49        all      0,15      0,00      0,43      0,03      0,00     99,39
09:44:59        all      0,18      0,00      0,41      0,03      0,00     99,39
09:45:09        all      0,13      0,00      0,41      0,05      0,00     99,41
09:45:19        all      0,18      0,00      0,51      0,05      0,00     99,26
09:45:29        all      0,13      0,00      0,41      0,03      0,00     99,44
09:45:39        all      0,13      0,00      0,25      0,08      0,00     99,54
09:45:49        all      0,10      0,00      0,38      0,03      0,00     99,49
09:45:59        all      0,10      0,00      0,31      0,03      0,00     99,57
09:46:09        all      0,13      0,00      0,23      0,03      0,00     99,62
09:46:19        all      0,18      0,00      0,43      0,08      0,00     99,31
09:46:29        all      0,13      0,00      0,36      0,03      0,00     99,49
09:46:39        all      0,15      0,00      0,38      0,03      0,00     99,44
09:46:49        all      0,13      0,00      0,38      0,00      0,00     99,49
09:46:59        all      0,10      0,00      0,33      0,05      0,00     99,52
09:47:09        all      0,18      0,00      0,25      0,08      0,00     99,49
09:47:19        all      0,18      0,00      0,41      0,00      0,00     99,41
09:47:29        all      0,18      0,00      0,41      0,03      0,00     99,39
