Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:13:49          2      0,00      0,00      0,00      0,10      0,00     99,90
09:13:49          3      0,00      0,00      0,10      0,00      0,00     99,90
09:13:59        all      0,08      0,00      0,38      0,05      0,00     99,49
09:13:59          0      0,00      0,00      0,00      0,00      0,00    100,00
09:13:59          1      0,32      0,00      1,60      0,00      0,00     98,08
09:13:59          2      0,00      0,00      0,00      0,20      0,00     99,80
09:13:59          3      0,00      0,00      0,00      0,00      0,00    100,00
09:14:09        all      0,13      0,00      0,48      0,03      0,00     99,36
09:14:09          0      0,00      0,00      0,00      0,00      0,00    100,00
09:14:09          1      0,32      0,00      1,81      0,00      0,00     97,87
09:14:09          2      0,20      0,00      0,10      0,10      0,00     99,60
09:14:09          3      0,00      0,00      0,10      0,00      0,00     99,90
09:14:19        all      0,20      0,00      0,31      0,05      0,00     99,44
09:14:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:14:19          1      0,43      0,00      1,18      0,00      0,00     98,39
09:14:19          2      0,40      0,00      0,10      0,10      0,00     99,40
09:14:19          3      0,00      0,00      0,00      0,10      0,00     99,90
09:14:29        all      0,15      0,00      0,43      0,05      0,00     99,36
09:14:29          0      0,00      0,00      0,10      0,00      0,00     99,90
09:14:29          1      0,43      0,00      1,60      0,11      0,00     97,87
09:14:29          2      0,20      0,00      0,10      0,10      0,00     99,60
09:14:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:14:39        all      0,13      0,00      0,33      0,08      0,00     99,47
09:14:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:14:39          1      0,32      0,00      1,28      0,00      0,00     98,40
09:14:39          2      0,20      0,00      0,10      0,20      0,00     99,50
09:14:39          3      0,00      0,00      0,00      0,10      0,00     99,90
09:14:49        all      0,13      0,00      0,36      0,03      0,00     99,49
09:14:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:14:49          1      0,32      0,00      1,50      0,00      0,00     98,18
09:14:49          2      0,20      0,00      0,00      0,10      0,00     99,70
09:14:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:14:59        all      0,15      0,00      0,41      0,05      0,00     99,39
09:14:59          0      0,00      0,00      0,10      0,00      0,00     99,90
09:14:59          1      0,43      0,00      1,39      0,00      0,00     98,19
09:14:59          2      0,20      0,00      0,10      0,20      0,00     99,50
09:14:59          3      0,00      0,00      0,10      0,00      0,00     99,90
09:15:09        all      0,23      0,00      0,41      0,03      0,00     99,34
09:15:09          0      0,10      0,00      0,00      0,00      0,00     99,90
09:15:09          1      0,53      0,00      1,60      0,00      0,00     97,87
09:15:09          2      0,30      0,00      0,10      0,10      0,00     99,50
09:15:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:15:19        all      0,18      0,00      0,33      0,03      0,00     99,47
09:15:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:15:19          1      0,11      0,00      0,64      0,00      0,00     99,25
09:15:19          2      0,60      0,00      0,60      0,10      0,00     98,70
09:15:19          3      0,00      0,00      0,10      0,00      0,00     99,90

09:15:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:15:29        all      0,10      0,00      0,36      0,05      0,00     99,49
09:15:29          0      0,00      0,00      0,00      0,00      0,00    100,00
09:15:29          1      0,32      0,00      1,28      0,00      0,00     98,39
09:15:29          2      0,10      0,00      0,10      0,10      0,00     99,70
09:15:29          3      0,00      0,00      0,10      0,10      0,00     99,80
09:15:39        all      0,08      0,00      0,43      0,03      0,00     99,46
09:15:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:15:39          1      0,32      0,00      1,71      0,00      0,00     97,97
09:15:39          2      0,00      0,00      0,10      0,10      0,00     99,80
09:15:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:15:49        all      0,10      0,00      0,28      0,03      0,00     99,59
09:15:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:15:49          1      0,32      0,00      1,17      0,00      0,00     98,51
09:15:49          2      0,00      0,00      0,00      0,10      0,00     99,90
09:15:49          3      0,10      0,00      0,00      0,00      0,00     99,90
09:15:59        all      0,08      0,00      0,46      0,03      0,00     99,44
09:15:59          0      0,00      0,00      0,10      0,00      0,00     99,90
09:15:59          1      0,32      0,00      1,71      0,00      0,00     97,97
09:15:59          2      0,00      0,00      0,00      0,10      0,00     99,90
09:15:59          3      0,00      0,00      0,10      0,00      0,00     99,90
09:16:09        all      0,08      0,00      0,33      0,03      0,00     99,57
09:16:09          0      0,00      0,00      0,00      0,00      0,00    100,00
09:16:09          1      0,32      0,00      1,18      0,00      0,00     98,50
09:16:09          2      0,00      0,00      0,20      0,10      0,00     99,70
09:16:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:16:19        all      0,18      0,00      0,43      0,03      0,00     99,36
09:16:19          0      0,00      0,00      0,10      0,00      0,00     99,90
09:16:19          1      0,32      0,00      1,60      0,00      0,00     98,08
09:16:19          2      0,40      0,00      0,10      0,10      0,00     99,40
09:16:19          3      0,00      0,00      0,00      0,00      0,00    100,00
09:16:29        all      0,08      0,00      0,36      0,03      0,00     99,54
09:16:29          0      0,00      0,00      0,00      0,00      0,00    100,00
09:16:29          1      0,32      0,00      1,28      0,00      0,00     98,40
09:16:29          2      0,00      0,00      0,10      0,10      0,00     99,80
09:16:29          3      0,00      0,00      0,10      0,00      0,00     99,90
09:16:39        all      0,05      0,00      0,33      0,05      0,00     99,57
09:16:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:16:39          1      0,21      0,00      1,39      0,11      0,00     98,29
09:16:39          2      0,00      0,00      0,00      0,10      0,00     99,90
09:16:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:16:49        all      0,10      0,00      0,41      0,03      0,00     99,47
09:16:49          0      0,00      0,00      0,10      0,00      0,00     99,90
09:16:49          1      0,21      0,00      1,60      0,00      0,00     98,19
09:16:49          2      0,10      0,00      0,00      0,10      0,00     99,80
09:16:49          3      0,10      0,00      0,00      0,00      0,00     99,90
09:16:59        all      0,10      0,00      0,33      0,05      0,00     99,52
09:16:59          0      0,00      0,00      0,00      0,00      0,00    100,00
09:16:59          1      0,43      0,00      1,39      0,00      0,00     98,18
09:16:59          2      0,00      0,00      0,00      0,20      0,00     99,80
09:16:59          3      0,00      0,00      0,00      0,00      0,00    100,00
09:17:09        all      0,10      0,00      0,43      0,05      0,00     99,41
09:17:09          0      0,00      0,00      0,00      0,00      0,00    100,00
09:17:09          1      0,32      0,00      1,60      0,00      0,00     98,08
09:17:09          2      0,00      0,00      0,10      0,20      0,00     99,70
09:17:09          3      0,10      0,00      0,10      0,00      0,00     99,80

