Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
09:18:49            0       628      0,00      0,01      0,00         0
09:18:59            0       628      0,00      0,01      0,00         0
09:19:09            0       628      0,00      0,01      0,00         0
09:19:19            0       628      0,00      0,01      0,00         0
09:19:29            0       628      0,00      0,01      0,00         0
09:19:39            0       628      0,00      0,01      0,00         0
09:19:49            1       628      0,00      0,01      0,00         0
09:19:59            0       628      0,00      0,00      0,00         0
09:20:09            0       629      0,00      0,00      0,00         0
09:20:19            0       629      0,00      0,00      0,00         0
09:20:29            0       628      0,00      0,00      0,00         0
09:20:39            0       628      0,00      0,00      0,00         0
09:20:49            0       628      0,00      0,00      0,00         0
09:20:59            0       628      0,00      0,00      0,00         0
09:21:09            1       628      0,00      0,00      0,00         0
09:21:19            0       628      0,00      0,00      0,00         0
09:21:29            1       628      0,00      0,00      0,00         0
09:21:39            1       629      0,00      0,00      0,00         0
09:21:49            2       629      0,00      0,00      0,00         0
09:21:59            1       629      0,00      0,00      0,00         0
09:22:09            2       629      0,00      0,00      0,00         0
09:22:19            1       629      0,00      0,00      0,00         0
09:22:29            0       629      0,00      0,00      0,00         0
09:22:39            0       629      0,00      0,00      0,00         0
09:22:49            0       629      0,00      0,00      0,00         1
09:22:59            0       629      0,00      0,00      0,00         0
09:23:09            0       629      0,00      0,00      0,00         0
09:23:19            0       629      0,00      0,00      0,00         0
09:23:29            0       629      0,00      0,00      0,00         0
09:23:39            0       629      0,00      0,00      0,00         0
09:23:49            0       629      0,00      0,00      0,00         0
09:23:59            0       629      0,00      0,00      0,00         0
09:24:09            0       629      0,00      0,00      0,00         0
09:24:19            1       629      0,00      0,00      0,00         0
09:24:29            0       629      0,00      0,00      0,00         0
09:24:39            2       629      0,00      0,00      0,00         0
09:24:49            0       630      0,00      0,00      0,00         0
09:24:59            0       629      0,00      0,00      0,00         0
09:25:09            0       629      0,00      0,00      0,00         0
09:25:19            0       629      0,00      0,00      0,00         0
09:25:29            0       628      0,00      0,00      0,00         0
09:25:39            0       628      0,00      0,00      0,00         0
09:25:49            0       628      0,00      0,00      0,00         0
09:25:59            1       628      0,00      0,00      0,00         0
09:26:09            0       628      0,00      0,00      0,00         0
09:26:19            0       628      0,00      0,00      0,00         0
09:26:29            0       628      0,00      0,00      0,00         0
09:26:39            0       627      0,00      0,00      0,00         0
09:26:49            0       627      0,00      0,00      0,00         0
09:26:59            0       627      0,00      0,00      0,00         0
09:27:09            0       627      0,00      0,00      0,00         0
09:27:19            0       627      0,00      0,00      0,00         0
09:27:29            1       627      0,00      0,00      0,00         0
09:27:39            0       627      0,00      0,00      0,00         0
09:27:49            0       627      0,00      0,00      0,00         0
09:27:59            1       627      0,00      0,00      0,00         0
09:28:09            0       627      0,00      0,00      0,00         0
09:28:19            0       627      0,00      0,00      0,00         0
09:28:29            0       627      0,00      0,00      0,00         0
09:28:39            0       628      0,00      0,00      0,00         0
09:28:49            0       627      0,00      0,00      0,00         0
09:28:59            0       627      0,00      0,00      0,00         0
09:29:09            0       627      0,00      0,00      0,00         0
09:29:19            0       627      0,00      0,00      0,00         0
09:29:29            0       627      0,07      0,02      0,00         0
09:29:39            1       627      0,06      0,02      0,00         0
09:29:49            0       627      0,05      0,01      0,00         0
09:29:59            0       627      0,04      0,01      0,00         0
09:30:09            0       630      0,04      0,01      0,00         0
09:30:19            0       630      0,03      0,01      0,00         0
09:30:29            0       630      0,02      0,01      0,00         0
09:30:39            0       630      0,02      0,01      0,00         0
09:30:49            0       630      0,02      0,01      0,00         0
09:30:59            0       630      0,01      0,01      0,00         0
09:31:09            0       630      0,01      0,01      0,00         0
09:31:19            0       630      0,01      0,01      0,00         0
09:31:29            0       630      0,01      0,00      0,00         0
09:31:39            0       630      0,01      0,00      0,00         0
09:31:49            0       630      0,00      0,00      0,00         0
09:31:59            1       630      0,00      0,00      0,00         0
09:32:09            1       630      0,00      0,00      0,00         0
09:32:19            1       630      0,00      0,00      0,00         0
09:32:29            0       631      0,00      0,00      0,00         0
09:32:39            0       631      0,00      0,00      0,00         0
09:32:49            0       632      0,00      0,00      0,00         0
09:32:59            0       632      0,00      0,00      0,00         0
09:33:09            0       632      0,00      0,00      0,00         0
09:33:19            0       632      0,00      0,00      0,00         0
09:33:29            1       632      0,00      0,00      0,00         0
09:33:39            0       632      0,00      0,00      0,00         0
09:33:49            0       632      0,00      0,00      0,00         0
09:33:59            0       632      0,00      0,00      0,00         0
09:34:09            0       632      0,00      0,00      0,00         0
09:34:19            0       632      0,00      0,00      0,00         0
09:34:29            0       632      0,00      0,00      0,00         0
09:34:39            0       632      0,00      0,00      0,00         0
09:34:49            0       633      0,00      0,00      0,00         0
09:34:59            0       632      0,00      0,00      0,00         0
09:35:09            1       632      0,00      0,00      0,00         0
09:35:19            0       631      0,00      0,00      0,00         0
09:35:29            0       631      0,00      0,00      0,00         0
09:35:39            0       631      0,00      0,00      0,00         0
09:35:49            0       631      0,00      0,00      0,00         0
09:35:59            0       631      0,00      0,00      0,00         0
09:36:09            0       631      0,00      0,00      0,00         0
09:36:19            1       631      0,00      0,00      0,00         0
